Cliente,Endereco,CPF,Bairro,Salario,Raca,Sexo,Profissao,Idade,Celular
Larissa Ferreira,"Rua da Gloria, 6782",84686387705,Gloria,9360.59,Chihuahua,Feminino,Musico,40,(21) 91601-9915
Carla Rodrigues,"Rua Sao Clemente, 4432",19121748044,Botafogo,9249.62,Yorkshire Terrier,Feminino,Designer,54,(21) 90016-2314
Gabriela Rocha,"Rua do Pepino, 8632",26091974603,Recreio dos Bandeirantes,3966.71,Yorkshire Terrier,Feminino,Professor,26,(21) 91494-5057
Roberta Moreira,"Rua Primeiro de Marco, 6821",57208570921,Centro,3900.68,Rottweiler,Feminino,Chef de Cozinha,40,(21) 95580-1904
Bruno Alves,"Rua do Bispo, 8671",45291453762,Rio Comprido,6176.37,Chihuahua,Masculino,Antropologo,26,(21) 96471-8974
Pedro Pinto,"Rua Conde de Bonfim, 6907",49650010839,Tijuca,5331.09,Pug,Masculino,Terapeuta Ocupacional,40,(21) 93460-8884
Diego Silva,"Avenida Rio Branco, 4860",98350040279,Centro,6081.0,Yorkshire Terrier,Masculino,Enfermeiro,40,(21) 90201-8484
Eduardo Campos,"Rua Primeiro de Marco, 466",46993284824,Centro,3378.11,Shih Tzu,Masculino,Personal Trainer,72,(21) 91479-1454
Pedro Pinto,"Rua Paissandu, 4006",43196077790,Flamengo,5489.83,Beagle,Masculino,Advogado,38,(21) 94231-5462
Carlos Santos,"Rua Farme de Amoedo, 3628",55654394096,Ipanema,9666.15,Poodle,Masculino,Economista,61,(21) 99781-5915
Viviane Mendes,"Rua Monte Alegre, 7473",45287111926,Santa Teresa,4814.75,Basset Hound,Feminino,Producao de Eventos,72,(21) 90973-3783
Patricia Melo,"Avenida Ayrton Senna, 5776",96290580153,Barra da Tijuca,5364.71,Pit Bull,Feminino,Fisioterapeuta,50,(21) 93030-8959
Felipe Oliveira,"Avenida Glaucio Gil, 9238",54276606321,Recreio dos Bandeirantes,3333.84,Labrador,Masculino,Contador,46,(21) 96824-6864
Carla Rodrigues,"Rua Marques de Abrantes, 8808",56785653636,Flamengo,6977.94,Maltes,Feminino,Gerente,44,(21) 96302-3025
Carla Rodrigues,"Rua Ataulfo de Paiva, 2698",65525982693,Leblon,9770.98,Golden Retriever,Feminino,Veterinario,67,(21) 97602-5183
Larissa Ferreira,"Rua Bartolomeu Mitre, 2016",40294680686,Leblon,5607.77,Chihuahua,Feminino,Medico,51,(21) 97461-7367
Pedro Pinto,"Rua Conde de Iraja, 7926",10202597612,Catete,8134.03,Dachshund,Masculino,Publicitario,66,(21) 95003-5215
Ricardo Martins,"Avenida Delfim Moreira, 5290",49668659889,Leblon,8909.16,Beagle,Masculino,Producao de Eventos,72,(21) 95474-3277
Diego Silva,"Rua Monte Alegre, 1728",45519731867,Santa Teresa,7917.64,Beagle,Masculino,Psicologo,46,(21) 96948-4442
Juliana Costa,"Rua 28 de Setembro, 3218",24040280484,Vila Isabel,1469.09,Golden Retriever,Feminino,Gerente,22,(21) 98365-6224
Joao Almeida,"Avenida Rio Branco, 6031",14440412413,Centro,1836.49,Chihuahua,Masculino,Geografo,29,(21) 93268-9640
Daniele Souza,"Rua Silveira Martins, 1702",52718357118,Catete,8206.97,Shih Tzu,Feminino,Desenvolvedor,33,(21) 94519-2656
Gabriela Rocha,"Avenida das Americas, 2224",57570907924,Barra da Tijuca,1829.31,Labrador,Feminino,Enfermeiro,67,(21) 90801-5188
Tatiane Almeida,"Rua Marquesa de Santos, 580",53800210286,Jardim Botanico,7451.77,Beagle,Feminino,Terapeuta Ocupacional,68,(21) 97376-9423
Gustavo Moreira,"Rua Joao Lira, 994",54470867371,Sao Conrado,2708.03,Shiba Inu,Masculino,Administrador,28,(21) 90370-4168
Joao Almeida,"Rua Heitor de Silva Costa, 4001",52551324923,Vila Isabel,4397.89,Beagle,Masculino,Lider de Projeto,41,(21) 94088-2826
Rafael Melo,"Rua do Catete, 1377",68103252794,Catete,9989.1,Chihuahua,Masculino,Artesao,69,(21) 95847-5138
Vinicius Santos,"Avenida Ayrton Senna, 5909",19301338802,Barra da Tijuca,8915.33,Labrador,Masculino,Diretor,32,(21) 94015-5438
Maria Luiza Silva,"Rua Plinio Casado, 9158",75628969189,Cascadura,6933.02,Basset Hound,Feminino,Dentista,44,(21) 99908-9973
Camila Pereira,"Rua do Catete, 8082",90822723751,Flamengo,2699.53,Basset Hound,Feminino,Engenheiro,27,(21) 93645-4630
Antonio Silva,"Rua Bento Lisboa, 7310",24360821526,Humaita,6450.87,Basset Hound,Masculino,Dentista,50,(21) 90832-3975
Eduardo Campos,"Rua Ataulfo de Paiva, 2698",62473210916,Leblon,3316.54,Golden Retriever,Masculino,Geografo,68,(21) 97026-8112
Camila Pereira,"Rua Paissandu, 1293",42602505104,Flamengo,3585.69,Yorkshire Terrier,Feminino,Padeiro,20,(21) 97454-8466
Mariana Lima,"Rua Mem de Sa, 7048",65782018903,Lapa,2758.95,Poodle,Feminino,Quimico,51,(21) 99249-7184
Daniele Souza,"Rua Buarque de Macedo, 5501",64901587152,Vila Isabel,7663.79,Yorkshire Terrier,Feminino,Contador,58,(21) 97583-4955
Michele Araujo,"Rua Farme de Amoedo, 9750",82481547555,Ipanema,5725.73,Beagle,Feminino,Historiador,53,(21) 92251-8758
Daniele Souza,"Rua do Bispo, 8546",95416995492,Rio Comprido,8905.11,Bulldog,Feminino,Padeiro,34,(21) 91987-5795
Marcelo Lima,"Rua Barao de Sao Francisco, 8512",27331571310,Humaita,6069.15,Schnauzer,Masculino,Quimico,69,(21) 96015-7574
Ricardo Martins,"Rua Nelson Mandela, 7581",63329187826,Botafogo,4054.37,Dachshund,Masculino,Quimico,24,(21) 95981-7322
Bruna Alves,"Rua Senador Dantas, 3361",73199735101,Flamengo,5619.32,Rottweiler,Feminino,Artesao,20,(21) 98465-5588
Isabela Martins,"Avenida Atlantica, 8330",75881444894,Copacabana,9522.28,Basset Hound,Feminino,Farmaceutico,32,(21) 91198-1416
Joao Almeida,"Rua Pacheco Leao, 2730",20210332942,Jardim Botanico,1643.95,Labrador,Masculino,Personal Trainer,67,(21) 97815-7182
Ricardo Martins,"Rua Mem de Sa, 4071",79075996995,Lapa,3167.01,Cocker Spaniel,Masculino,Jornalista,67,(21) 97812-1462
Roberta Moreira,"Rua Monte Alegre, 2441",64975145709,Santa Teresa,3108.05,Yorkshire Terrier,Feminino,Fisioterapeuta,61,(21) 98769-8756
Juliana Costa,"Rua do Lavradio, 6674",90557867432,Catete,7551.44,Shiba Inu,Feminino,Personal Trainer,59,(21) 98033-6445
Pedro Pinto,"Rua Sao Clemente, 7189",81773358488,Botafogo,9844.47,Rottweiler,Masculino,Psicologo,36,(21) 93282-7061
Ricardo Martins,"Rua Heitor de Silva Costa, 1573",31525054803,Vila Isabel,8677.51,Shih Tzu,Masculino,Padeiro,21,(21) 96173-4142
Larissa Ferreira,"Rua do Ouvidor, 38",88093949449,Gloria,4347.33,Bulldog,Feminino,Gerente,33,(21) 90898-1599
Lucas Ferreira,"Rua Joaquim Nabuco, 4536",91023010005,Recreio dos Bandeirantes,4727.25,Husky Siberiano,Masculino,Musico,57,(21) 99270-2168
Bruno Alves,"Rua Conde de Iraja, 3147",79713999570,Catete,6241.9,Cocker Spaniel,Masculino,Padeiro,42,(21) 90835-7839
Leandro Rodrigues,"Rua do Ouvidor, 6037",81173840048,Centro,8367.59,Labrador,Masculino,Musico,64,(21) 97202-1720
Daniele Souza,"Rua General Artigas, 753",96556911999,Leblon,3542.57,Yorkshire Terrier,Feminino,Contador,51,(21) 97071-3890
Carla Rodrigues,"Rua do Rio Comprido, 360",78670999518,Rio Comprido,8319.33,Golden Retriever,Feminino,Advogado,44,(21) 94677-9584
Daniele Souza,"Avenida Delfim Moreira, 4508",91419832908,Leblon,4589.6,Basset Hound,Feminino,Producao de Eventos,48,(21) 94666-7520
Bruna Alves,"Rua do Lavradio, 9449",23240180629,Lapa,9376.22,Shiba Inu,Feminino,Personal Trainer,32,(21) 99632-5196
Bruno Alves,"Praia de Botafogo, 9303",19351095268,Botafogo,4589.52,Rottweiler,Masculino,Medico,72,(21) 91247-9288
Viviane Mendes,"Rua Senador Dantas, 1317",40741492565,Flamengo,4966.36,Boxer,Feminino,Padeiro,32,(21) 98363-8692
Juliana Costa,"Avenida Atlantica, 5218",84108416214,Copacabana,6917.13,Shiba Inu,Feminino,Dentista,53,(21) 92198-4500
Tatiane Almeida,"Avenida Delfim Moreira, 4243",93490342151,Leblon,3783.85,Maltes,Feminino,Enfermeiro,21,(21) 99791-6321
Antonio Silva,"Rua Domingos Ferreira, 3625",57551399434,Cascadura,8459.31,Schnauzer,Masculino,Producao de Eventos,31,(21) 90773-4695
Luana Campos,"Avenida Vieira Souto, 4019",90506924111,Ipanema,4163.78,Beagle,Feminino,Administrador,40,(21) 92556-4499
Viviane Mendes,"Rua do Pepino, 9571",86100208675,Recreio dos Bandeirantes,8316.07,Golden Retriever,Feminino,Enfermeiro,61,(21) 95031-6353
Maria Luiza Silva,"Rua Gal. Osorio, 6986",24361338931,Cascadura,2730.05,Cocker Spaniel,Feminino,Farmaceutico,33,(21) 98441-3135
Gabriel Rocha,"Rua do Ouvidor, 4797",97597117568,Centro,7079.44,Labrador,Masculino,Padeiro,36,(21) 95575-2984
Larissa Ferreira,"Rua Miguel Lemos, 8147",68818538670,Sao Conrado,4122.0,Border Collie,Feminino,Ator,21,(21) 93162-7661
Michele Araujo,"Avenida Vieira Souto, 5329",18903618169,Ipanema,5367.98,Shih Tzu,Feminino,Biologo,23,(21) 91642-7856
Eduardo Campos,"Rua Farme de Amoedo, 3278",58983935254,Ipanema,5505.76,Basset Hound,Masculino,Padeiro,36,(21) 95588-9425
Michele Araujo,"Rua 28 de Setembro, 984",76547929104,Vila Isabel,9789.52,Pug,Feminino,Enfermeiro,67,(21) 91052-1174
Ricardo Martins,"Rua Sao Clemente, 9138",39934528815,Humaita,5426.53,Poodle,Masculino,Farmaceutico,39,(21) 99857-1930
Ana Beatriz Oliveira,"Rua Buarque de Macedo, 3533",99570200491,Vila Isabel,5587.08,Poodle,Feminino,Quimico,23,(21) 99987-9694
Marcelo Lima,"Rua Mem de Sa, 579",11191275794,Lapa,5716.98,Schnauzer,Masculino,Arquiteto,42,(21) 91735-2315
Amanda Carvalho,"Rua Casemiro de Abreu, 6959",67147369658,Cascadura,3246.52,Golden Retriever,Feminino,Biologo,18,(21) 93081-1690
Lucas Ferreira,"Rua Lopes Quintas, 503",19945139981,Jardim Botanico,4220.79,Husky Siberiano,Masculino,Terapeuta Ocupacional,42,(21) 99984-8785
Carla Rodrigues,"Avenida Glaucio Gil, 4999",86503290663,Recreio dos Bandeirantes,6626.62,Rottweiler,Feminino,Biologo,63,(21) 90423-8216
Antonio Silva,"Rua Casemiro de Abreu, 1358",33330494298,Cascadura,5009.95,Shiba Inu,Masculino,Ator,24,(21) 92667-5267
Natalia Pinto,"Rua Senador Dantas, 137",24821261470,Flamengo,6281.76,Shih Tzu,Feminino,Medico,65,(21) 96908-8012
Carla Rodrigues,"Rua Mem de Sa, 2273",47470972909,Lapa,3190.08,Beagle,Feminino,Diretor,18,(21) 95882-8420
Bruna Alves,"Rua Clarimundo de Melo, 2792",54612591818,Tijuca,6010.01,Bulldog,Feminino,Engenheiro,48,(21) 97279-6100
Antonio Silva,"Rua do Russel, 3421",67846354432,Gloria,2946.04,Shiba Inu,Masculino,Medico,55,(21) 90498-3164
Roberta Moreira,"Rua Bento Lisboa, 3012",62175756416,Humaita,5057.75,Cocker Spaniel,Feminino,Enfermeiro,56,(21) 92210-4938
Natalia Pinto,"Rua do Catete, 2391",18330015023,Catete,4964.1,Shih Tzu,Feminino,Economista,68,(21) 95020-7550
Roberta Moreira,"Rua Mem de Sa, 9790",86066605148,Lapa,4590.66,Labrador,Feminino,Historiador,39,(21) 94200-6898
Felipe Oliveira,"Rua Miguel Lemos, 1670",85985655039,Sao Conrado,3330.12,Basset Hound,Masculino,Producao de Eventos,46,(21) 94157-1363
Pedro Pinto,"Rua 28 de Setembro, 9494",56106838030,Vila Isabel,7984.29,Pug,Masculino,Geografo,62,(21) 93607-9517
Ricardo Martins,"Rua do Russel, 2339",93719645518,Gloria,6432.31,Golden Retriever,Masculino,Geografo,72,(21) 91558-5696
Marcelo Lima,"Rua Sao Clemente, 2881",49410081583,Botafogo,5622.15,Pug,Masculino,Diretor,66,(21) 92037-9270
Pedro Pinto,"Rua Estrela, 6824",65404826057,Santa Teresa,6170.17,Dachshund,Masculino,Artesao,42,(21) 97222-9989
Bruno Alves,"Rua Garcia d'Avila, 5782",88539847457,Ipanema,9063.0,Bulldog,Masculino,Terapeuta Ocupacional,20,(21) 91725-6199
Luana Campos,"Rua Uruguai, 4434",47644549420,Tijuca,2816.88,Basset Hound,Feminino,Advogado,31,(21) 95443-3838
Tatiane Almeida,"Rua do Catete, 8377",90383852843,Catete,1984.48,Schnauzer,Feminino,Veterinario,38,(21) 90837-4298
Michele Araujo,"Rua Sao Clemente, 1025",46523553197,Humaita,7044.76,Beagle,Feminino,Quimico,51,(21) 99962-6800
Carla Rodrigues,"Rua do Rio Comprido, 1268",29837136608,Rio Comprido,2059.3,Chihuahua,Feminino,Veterinario,25,(21) 97631-5386
Fernanda Santos,"Rua Bento Lisboa, 5703",16867652095,Humaita,6937.42,Golden Retriever,Feminino,Veterinario,42,(21) 92394-6055
Michele Araujo,"Rua do Catete, 799",39078586881,Flamengo,5972.34,Basset Hound,Feminino,Desenvolvedor,45,(21) 92774-8071
Lucas Ferreira,"Rua Senador Dantas, 5310",79537731719,Flamengo,5424.8,Basset Hound,Masculino,Terapeuta Ocupacional,67,(21) 93053-8189
Tatiane Almeida,"Rua Visconde de Souza Franco, 8874",54336872081,Lapa,7759.73,Dachshund,Feminino,Engenheiro,72,(21) 97961-8805
Ricardo Martins,"Rua Sao Clemente, 5380",73478090759,Botafogo,9062.97,Labrador,Masculino,Fisioterapeuta,64,(21) 96217-5851
Ana Beatriz Oliveira,"Rua Miguel Lemos, 3347",64598152753,Sao Conrado,2778.26,Bulldog,Feminino,Engenheiro,45,(21) 93685-2551
Amanda Carvalho,"Rua Visconde de Souza Franco, 3285",38020553809,Lapa,1460.32,Border Collie,Feminino,Professor,60,(21) 90551-7923
Mariana Lima,"Rua Ary Schiavo, 7549",69153950228,Barra da Tijuca,3034.66,Maltes,Feminino,Lider de Projeto,28,(21) 97564-4706
Ricardo Martins,"Rua Sao Clemente, 9316",57676809537,Botafogo,9839.62,Labrador,Masculino,Professor,25,(21) 91906-7284
Vinicius Santos,"Rua Visconde de Piraja, 112",88495869768,Ipanema,7588.78,Basset Hound,Masculino,Antropologo,56,(21) 91731-2068
Pedro Pinto,"Rua dos Arcos, 7120",13991150674,Lapa,4242.72,Shiba Inu,Masculino,Advogado,63,(21) 91436-3464
Gustavo Moreira,"Rua do Anil, 9018",25172957829,Barra da Tijuca,2688.95,Maltes,Masculino,Professor,61,(21) 92873-9065
Andre Carvalho,"Rua Bento Lisboa, 3963",87031147737,Humaita,2735.34,Schnauzer,Masculino,Geografo,29,(21) 90318-6322
Carlos Santos,"Rua Humaita, 4469",69248698004,Humaita,4060.43,Pug,Masculino,Ator,65,(21) 93828-3377
Ana Beatriz Oliveira,"Rua Nelson Mandela, 9641",55311464239,Botafogo,2970.13,Poodle,Feminino,Contador,35,(21) 97947-7656
Carla Rodrigues,"Rua Felipe Cardoso, 1702",86594614412,Santa Teresa,6819.75,Pug,Feminino,Chef de Cozinha,34,(21) 96704-9798
Pedro Pinto,"Rua Barata Ribeiro, 3921",38904527841,Copacabana,7073.74,Cocker Spaniel,Masculino,Geografo,68,(21) 92854-5144
Carla Rodrigues,"Rua Lopes Quintas, 3812",57184202481,Jardim Botanico,9868.41,Bulldog,Feminino,Desenvolvedor,23,(21) 91666-1253
Carla Rodrigues,"Rua Joao Lira, 7487",94225806485,Sao Conrado,7912.28,Pit Bull,Feminino,Analista de Sistemas,70,(21) 90600-7061
Lucas Ferreira,"Rua Visconde de Piraja, 7720",69123909171,Ipanema,6941.38,Yorkshire Terrier,Masculino,Geografo,48,(21) 91869-8290
Gustavo Moreira,"Rua Pacheco Leao, 6173",17109491129,Jardim Botanico,8065.61,Bulldog,Masculino,Quimico,25,(21) 97840-8798
Patricia Melo,"Rua dos Arcos, 6442",79248076583,Lapa,7505.58,Poodle,Feminino,Diretor,28,(21) 98073-4087
Camila Pereira,"Rua Almirante Alexandrino, 4666",58767724607,Santa Teresa,9669.27,Border Collie,Feminino,Jornalista,27,(21) 90281-9931
Viviane Mendes,"Avenida Glaucio Gil, 7609",58818509267,Recreio dos Bandeirantes,7083.39,Shiba Inu,Feminino,Analista de Sistemas,21,(21) 97096-4976
Thiago Souza,"Rua Ataulfo de Paiva, 1604",38295521288,Leblon,7210.61,Shiba Inu,Masculino,Artesao,37,(21) 96949-5745
Ana Beatriz Oliveira,"Rua Barao de Sao Francisco, 1375",82836635953,Humaita,4775.97,Labrador,Feminino,Designer,56,(21) 91558-7831
Fernanda Santos,"Rua Barao de Santa Marta, 9937",50491769550,Rio Comprido,7844.12,Yorkshire Terrier,Feminino,Ator,51,(21) 93152-5801
Larissa Ferreira,"Rua Voluntarios da Patria, 94",96798108356,Botafogo,3511.19,Bulldog,Feminino,Quimico,29,(21) 96765-6132
Andre Carvalho,"Rua do Russel, 7006",28352739670,Gloria,8566.12,Husky Siberiano,Masculino,Geografo,40,(21) 94162-8322
Antonio Silva,"Rua do Ouvidor, 5359",84392897706,Gloria,8922.36,Basset Hound,Masculino,Quimico,31,(21) 98440-2930
Natalia Pinto,"Rua Conde de Iraja, 3179",29268902385,Catete,4350.45,Cocker Spaniel,Feminino,Personal Trainer,18,(21) 91255-5061
Gustavo Moreira,"Rua General Glicerio, 9484",83111277648,Rio Comprido,6203.63,Dachshund,Masculino,Engenheiro,24,(21) 93409-4371
Joao Almeida,"Rua 28 de Setembro, 3796",82001801653,Vila Isabel,2305.47,Shiba Inu,Masculino,Jornalista,60,(21) 99209-9052
Andre Carvalho,"Praia de Botafogo, 3517",68841613255,Botafogo,7618.91,Pit Bull,Masculino,Veterinario,38,(21) 97657-4122
Ana Beatriz Oliveira,"Rua da Gloria, 5503",88377889240,Gloria,5208.95,Shiba Inu,Feminino,Artesao,68,(21) 94139-9518
Daniele Souza,"Rua do Catete, 2067",87914450861,Flamengo,1856.35,Labrador,Feminino,Contador,66,(21) 97364-8128
Fernanda Santos,"Rua Lopes Quintas, 4596",24926840172,Jardim Botanico,1735.52,Pug,Feminino,Veterinario,29,(21) 90868-2111
Gabriela Rocha,"Rua do Catete, 7686",27058671061,Flamengo,8709.19,Husky Siberiano,Feminino,Diretor,19,(21) 98536-9185
Juliana Costa,"Rua Humaita, 832",88245022728,Humaita,2119.49,Shih Tzu,Feminino,Designer,32,(21) 91090-8663
Daniel Araujo,"Rua Lopes Quintas, 6351",59011587949,Jardim Botanico,7700.37,Beagle,Masculino,Psicologo,37,(21) 91539-5584
Diego Silva,"Rua Paula Freitas, 6712",84300515837,Copacabana,1984.66,Pit Bull,Masculino,Dentista,28,(21) 96863-9151
Bruno Alves,"Avenida Aquarela do Brasil, 3992",95318424700,Sao Conrado,5367.58,Beagle,Masculino,Jornalista,47,(21) 93934-7398
Diego Silva,"Avenida das Americas, 5955",54294576907,Barra da Tijuca,3360.57,Beagle,Masculino,Veterinario,32,(21) 99999-1808
Andre Carvalho,"Rua Sao Clemente, 3231",41584000754,Botafogo,5649.75,Dachshund,Masculino,Geografo,23,(21) 94758-7477
Rafael Melo,"Rua Voluntarios da Patria, 4416",64235968518,Botafogo,7559.33,Dachshund,Masculino,Farmaceutico,33,(21) 92131-3082
Juliana Costa,"Rua Heitor de Silva Costa, 787",67465601590,Vila Isabel,4414.97,Pit Bull,Feminino,Jornalista,70,(21) 91208-8431
Roberta Moreira,"Rua Joaquim Nabuco, 5473",17387869992,Recreio dos Bandeirantes,4740.76,Chihuahua,Feminino,Personal Trainer,40,(21) 98338-3836
Carlos Santos,"Rua Silveira Martins, 2403",85943557633,Catete,4721.51,Rottweiler,Masculino,Gerente,32,(21) 96577-7487
Bruna Alves,"Avenida Atlantica, 8152",68607252192,Copacabana,1826.34,Rottweiler,Feminino,Producao de Eventos,29,(21) 97988-3355
Fernanda Santos,"Rua da Gloria, 7963",49008736618,Gloria,9631.03,Cocker Spaniel,Feminino,Contador,37,(21) 96827-9468
Lucas Ferreira,"Rua do Dende, 6540",83558919887,Recreio dos Bandeirantes,4148.34,Cocker Spaniel,Masculino,Designer,62,(21) 91683-2448
