Cliente,Endereco,CPF,Bairro,Salario,Raca,Sexo,Profissao,Idade,Celular
Antonio Silva,"Rua dos Arcos, 4514",87408932043.0,Lapa,2431.45,Yorkshire Terrier,Masculino,Gerente,72,(21) 90026-7949
Maria Luiza Silva,"Rua do Lavradio, 5343",23906154552.0,Catete,9070.0,Husky Siberiano,Feminino,Terapeuta Ocupacional,69,(21) 93668-3210
Carlos Santos,"Rua Joaquim Nabuco, 8957",50055819100.0,Recreio dos Bandeirantes,2476.43,Maltes,Masculino,Analista de Sistemas,72,(21) 95048-2974
Antonio Silva,"Rua Sao Clemente, 4547",78002695301.0,Humaita,6631.99,Dachshund,Masculino,Diretor,33,(21) 98234-7753
Amanda Carvalho,"Rua Barata Ribeiro, 8811",62924221549.0,Copacabana,3645.58,Bulldog,Feminino,Advogado,61,(21) 96486-3823
Viviane Mendes,"Rua Professor Annes Dias, 8657",98534754615.0,Sao Conrado,8322.16,Dachshund,Feminino,Advogado,64,(21) 94287-1290
Marcelo Lima,"Rua do Dende, 1143",79460246459.0,Recreio dos Bandeirantes,9615.79,Border Collie,Masculino,Professor,46,(21) 97920-2758
Amanda Carvalho,"Rua Miguel Lemos, 202",42307886734.0,Sao Conrado,7253.78,Border Collie,Feminino,Antropologo,37,(21) 98877-7229
Gabriel Rocha,"Rua Casemiro de Abreu, 4177",47226686231.0,Cascadura,2557.7,Shiba Inu,Masculino,Medico,57,(21) 98550-4487
Antonio Silva,"Rua Silveira Martins, 5418",41643427003.0,Catete,5519.22,Rottweiler,Masculino,Medico,28,(21) 94348-1005
Larissa Ferreira,"Rua General Glicerio, 894",51585997412.0,Rio Comprido,7865.05,Yorkshire Terrier,Feminino,Jornalista,36,(21) 95429-5384
Camila Pereira,"Rua General Glicerio, 4971",51380423894.0,Rio Comprido,4654.84,Bulldog,Feminino,Chef de Cozinha,47,(21) 99846-5628
Ricardo Martins,"Rua do Catete, 3394",74423807390.0,Flamengo,5756.89,Schnauzer,Masculino,Antropologo,70,(21) 96743-7917
Thiago Souza,"Praia de Botafogo, 6637",20276124166.0,Botafogo,4163.07,Golden Retriever,Masculino,Desenvolvedor,52,(21) 98959-8633
Rafael Melo,"Rua Barao de Santa Marta, 5833",81574140863.0,Rio Comprido,4342.69,Bulldog,Masculino,Psicologo,44,(21) 97301-2290
Vinicius Santos,"Avenida Vieira Souto, 6693",73997620801.0,Ipanema,4742.5,Husky Siberiano,Masculino,Economista,71,(21) 92084-9522
Juliana Costa,"Rua General Artigas, 1330",68471219244.0,Leblon,3308.32,Cocker Spaniel,Feminino,Musico,55,(21) 96287-2776
Bruna Alves,"Rua Casemiro de Abreu, 9130",30453970621.0,Cascadura,4127.03,Rottweiler,Feminino,Fisioterapeuta,28,(21) 93363-5713
Luana Campos,"Rua Gal. Osorio, 1974",43997739663.0,Cascadura,8790.59,Labrador,Feminino,Enfermeiro,25,(21) 95695-3081
Pedro Pinto,"Rua Candido Mendes, 4926",48128902482.0,Gloria,4916.54,Basset Hound,Masculino,Farmaceutico,42,(21) 95071-7169
Vinicius Santos,"Rua do Lavradio, 4368",27629539447.0,Lapa,2994.71,Boxer,Masculino,Desenvolvedor,53,(21) 99291-1114
Juliana Costa,"Rua Jose Higino, 8383",49891421313.0,Tijuca,5444.21,Golden Retriever,Feminino,Professor,60,(21) 99058-6830
Pedro Pinto,"Rua do Lavradio, 3452",95144592741.0,Lapa,9771.45,Pit Bull,Masculino,Lider de Projeto,47,(21) 90959-1802
Carlos Santos,"Rua Bartolomeu Mitre, 391",98202447256.0,Leblon,7903.46,Pug,Masculino,Fisioterapeuta,21,(21) 99813-4216
Joao Almeida,"Rua Bento Lisboa, 2470",39472444805.0,Humaita,8164.2,Husky Siberiano,Masculino,Psicologo,18,(21) 97974-8120
Daniel Araujo,"Rua Bartolomeu Mitre, 5689",47998933888.0,Leblon,6788.08,Labrador,Masculino,Chef de Cozinha,29,(21) 95535-4379
Patricia Melo,"Rua Buarque de Macedo, 601",42837653025.0,Vila Isabel,4108.66,Chihuahua,Feminino,Advogado,72,(21) 99583-2691
Ana Beatriz Oliveira,"Rua Clarimundo de Melo, 8517",75673797704.0,Tijuca,7446.84,Basset Hound,Feminino,Designer,44,(21) 98142-2607
Larissa Ferreira,"Rua General Glicerio, 3867",24833386476.0,Rio Comprido,8736.57,Golden Retriever,Feminino,Designer,32,(21) 92536-7107
Larissa Ferreira,"Rua Gal. Osorio, 5526",98409601891.0,Cascadura,2935.36,Chihuahua,Feminino,Dentista,26,(21) 92421-1117
Fernanda Santos,"Praia de Botafogo, 8723",73056982047.0,Botafogo,6372.18,Basset Hound,Feminino,Enfermeiro,66,(21) 94506-3376
Antonio Silva,"Rua Marques de Abrantes, 1032",99728572365.0,Flamengo,2100.29,Dachshund,Masculino,Arquiteto,25,(21) 99470-6859
Amanda Carvalho,"Rua do Lavradio, 7958",17077594037.0,Lapa,5144.08,Maltes,Feminino,Artesao,54,(21) 96939-1717
Vinicius Santos,"Rua do Catete, 4321",72326400951.0,Flamengo,2782.84,Border Collie,Masculino,Administrador,66,(21) 91451-1947
Luana Campos,"Rua do Lavradio, 9046",48975417186.0,Lapa,2443.2,Boxer,Feminino,Antropologo,55,(21) 99790-7871
Camila Pereira,"Rua Heitor de Silva Costa, 5966",24928283758.0,Vila Isabel,5778.82,Dachshund,Feminino,Veterinario,53,(21) 99782-2599
Maria Luiza Silva,"Rua Jardim Botanico, 8319",73368646456.0,Jardim Botanico,1619.81,Shih Tzu,Feminino,Psicologo,58,(21) 96711-3972
Pedro Pinto,"Rua do Pepino, 2855",56459123530.0,Recreio dos Bandeirantes,1849.22,Chihuahua,Masculino,Publicitario,53,(21) 92586-1651
Patricia Melo,"Rua Farme de Amoedo, 6297",35615426526.0,Ipanema,3288.99,Husky Siberiano,Feminino,Biologo,54,(21) 91014-8909
Amanda Carvalho,"Rua Nelson Mandela, 6952",32966523768.0,Botafogo,3914.35,Dachshund,Feminino,Padeiro,32,(21) 99665-7374
Gustavo Moreira,"Rua do Catete, 6869",39051960557.0,Catete,8447.34,Labrador,Masculino,Veterinario,28,(21) 97199-4118
Eduardo Campos,"Rua do Anil, 7830",40910336128.0,Barra da Tijuca,7522.54,Cocker Spaniel,Masculino,Diretor,32,(21) 91957-9460
Joao Almeida,"Rua Joao Vicente, 466",81718583123.0,Vila Isabel,8498.14,Basset Hound,Masculino,Jornalista,56,(21) 96163-7595
Pedro Pinto,"Rua do Ouvidor, 3386",45696263741.0,Centro,2810.18,Pit Bull,Masculino,Psicologo,42,(21) 97365-4436
Rodrigo Costa,"Rua Ary Schiavo, 552",38774440993.0,Barra da Tijuca,1812.35,Rottweiler,Masculino,Farmaceutico,65,(21) 91382-5399
Carlos Santos,"Rua Marquesa de Santos, 3040",88697179368.0,Jardim Botanico,2258.96,Border Collie,Masculino,Psicologo,35,(21) 91316-3219
Vinicius Santos,"Rua General Glicerio, 8764",57700087245.0,Rio Comprido,6748.65,Boxer,Masculino,Contador,40,(21) 96320-9978
Antonio Silva,"Rua da Gloria, 4482",43591982373.0,Gloria,6449.56,Boxer,Masculino,Fisioterapeuta,67,(21) 99345-7788
Maria Luiza Silva,"Rua Visconde de Piraja, 8399",94556926022.0,Ipanema,4948.16,Bulldog,Feminino,Dentista,33,(21) 95022-8589
Amanda Carvalho,"Rua Miguel Lemos, 1903",27917228609.0,Sao Conrado,3153.33,Shih Tzu,Feminino,Gerente,43,(21) 99008-9745
Ana Beatriz Oliveira,"Rua da Gloria, 1188",28234940327.0,Gloria,5108.39,Poodle,Feminino,Jornalista,65,(21) 97186-6050
Ricardo Martins,"Rua General Glicerio, 3229",32300471349.0,Rio Comprido,4586.69,Border Collie,Masculino,Geografo,55,(21) 95453-9266
Amanda Carvalho,"Rua Marques de Abrantes, 467",28777358823.0,Flamengo,5390.0,Poodle,Feminino,Antropologo,40,(21) 91055-9110
Ana Beatriz Oliveira,"Rua Barao de Sao Francisco, 7139",66123196938.0,Humaita,6321.22,Pug,Feminino,Chef de Cozinha,48,(21) 96259-6384
Viviane Mendes,"Rua Estrela, 6300",15733820581.0,Santa Teresa,9509.1,Basset Hound,Feminino,Artesao,31,(21) 95553-5844
Rafael Melo,"Rua do Lavradio, 144",79793385207.0,Lapa,7202.43,Labrador,Masculino,Chef de Cozinha,43,(21) 95913-5093
Natalia Pinto,"Avenida Ayrton Senna, 8266",26856473038.0,Barra da Tijuca,3087.15,Maltes,Feminino,Artesao,31,(21) 90957-4263
Bruna Alves,"Rua Senador Dantas, 2880",33874546807.0,Flamengo,6591.28,Chihuahua,Feminino,Historiador,55,(21) 93767-4757
Thiago Souza,"Rua Marques de Abrantes, 5570",98343902605.0,Flamengo,5348.13,Pug,Masculino,Fisioterapeuta,22,(21) 93432-5674
Maria Luiza Silva,"Avenida Delfim Moreira, 117",52483058225.0,Leblon,1864.61,Cocker Spaniel,Feminino,Biologo,58,(21) 99868-3499
Maria Luiza Silva,"Rua Paula Freitas, 1218",26575173797.0,Copacabana,6715.85,Boxer,Feminino,Publicitario,69,(21) 97454-5673
Gabriel Rocha,"Rua Visconde de Piraja, 3830",76214236011.0,Ipanema,8309.75,Chihuahua,Masculino,Administrador,20,(21) 90754-9000
Joao Almeida,"Rua Ataulfo de Paiva, 9790",21184583607.0,Leblon,2669.39,Pug,Masculino,Professor,20,(21) 93457-7438
Joao Almeida,"Rua dos Arcos, 8289",71728800926.0,Lapa,8514.3,Rottweiler,Masculino,Ator,64,(21) 93978-9100
Amanda Carvalho,"Rua do Catete, 41",10005085983.0,Catete,2472.48,Maltes,Feminino,Advogado,60,(21) 90164-2312
Natalia Pinto,"Rua Joao Vicente, 7263",69407680275.0,Vila Isabel,2052.2,Pug,Feminino,Geografo,25,(21) 94379-5837
Roberta Moreira,"Rua Lopes Quintas, 2798",19960019059.0,Jardim Botanico,9835.0,Golden Retriever,Feminino,Historiador,20,(21) 98615-2391
Michele Araujo,"Rua do Lavradio, 2340",33192789970.0,Lapa,3307.62,Shiba Inu,Feminino,Fisioterapeuta,24,(21) 91577-4695
Michele Araujo,"Rua Primeiro de Marco, 8072",21444523908.0,Centro,6526.33,Shih Tzu,Feminino,Ator,29,(21) 93558-5677
Andre Carvalho,"Avenida Delfim Moreira, 9503",62520779690.0,Leblon,4412.34,Shiba Inu,Masculino,Gerente,18,(21) 90611-4930
Gabriela Rocha,"Rua General Glicerio, 8104",25171664196.0,Rio Comprido,7627.49,Maltes,Feminino,Historiador,40,(21) 96883-3408
Thiago Souza,"Rua Joao Lira, 5907",82910914828.0,Sao Conrado,9845.32,Shiba Inu,Masculino,Medico,22,(21) 92720-8167
Carla Rodrigues,"Avenida Glaucio Gil, 4329",64172658458.0,Recreio dos Bandeirantes,1543.3,Rottweiler,Feminino,Gerente,50,(21) 97288-9360
Eduardo Campos,"Rua Ataulfo de Paiva, 1826",30585846476.0,Leblon,2826.93,Husky Siberiano,Masculino,Economista,57,(21) 95695-9116
Daniel Araujo,"Rua Plinio Casado, 1983",73712873395.0,Cascadura,5071.3,Pug,Masculino,Analista de Sistemas,62,(21) 99121-4979
Juliana Costa,"Rua Professor Annes Dias, 1883",69965011457.0,Sao Conrado,3538.42,Yorkshire Terrier,Feminino,Publicitario,57,(21) 98054-1170
Vinicius Santos,"Rua Visconde de Piraja, 197",30064986263.0,Ipanema,7725.98,Shih Tzu,Masculino,Producao de Eventos,18,(21) 90762-2472
Rodrigo Costa,"Rua do Lavradio, 2256",83383315731.0,Catete,7099.62,Schnauzer,Masculino,Padeiro,39,(21) 96619-2312
Gabriel Rocha,"Rua Buarque de Macedo, 888",35187919297.0,Vila Isabel,1619.46,Bulldog,Masculino,Lider de Projeto,68,(21) 96461-7508
Mariana Lima,"Rua Estrela, 6138",61068425853.0,Santa Teresa,8192.18,Maltes,Feminino,Medico,26,(21) 93803-5090
Natalia Pinto,"Rua Joao Vicente, 5060",90770627230.0,Vila Isabel,1359.66,Shih Tzu,Feminino,Diretor,30,(21) 90065-6531
Diego Silva,"Rua Nelson Mandela, 3144",21015791645.0,Botafogo,1664.47,Border Collie,Masculino,Arquiteto,72,(21) 91207-1481
Patricia Melo,"Rua Conde de Bonfim, 53",77050426225.0,Tijuca,7389.96,Maltes,Feminino,Dentista,29,(21) 92599-3034
Camila Pereira,"Rua do Bispo, 3644",77920136839.0,Rio Comprido,7973.12,Beagle,Feminino,Advogado,31,(21) 95529-9704
Fernanda Santos,"Avenida Glaucio Gil, 6600",33212205674.0,Recreio dos Bandeirantes,9907.91,Pug,Feminino,Ator,66,(21) 98925-5799
Gabriela Rocha,"Rua do Anil, 2642",31768794238.0,Barra da Tijuca,2680.49,Yorkshire Terrier,Feminino,Farmaceutico,49,(21) 90488-1287
Ana Beatriz Oliveira,"Rua Paissandu, 5699",54544678838.0,Flamengo,8290.74,Maltes,Feminino,Antropologo,59,(21) 97313-6345
Gabriel Rocha,"Rua dos Arcos, 6044",64803433595.0,Lapa,2877.72,Labrador,Masculino,Padeiro,30,(21) 97462-3667
Ricardo Martins,"Avenida Aquarela do Brasil, 1441",20521991106.0,Sao Conrado,2934.82,Golden Retriever,Masculino,Ator,18,(21) 91522-6161
Bruna Alves,"Rua Sao Clemente, 5824",25924344435.0,Botafogo,2791.69,Border Collie,Feminino,Historiador,38,(21) 90023-9690
Carla Rodrigues,"Rua Visconde de Souza Franco, 5986",78558339862.0,Lapa,4539.51,Basset Hound,Feminino,Desenvolvedor,28,(21) 98961-5330
Pedro Pinto,"Rua do Pepino, 1101",28348016888.0,Recreio dos Bandeirantes,3671.41,Rottweiler,Masculino,Analista de Sistemas,53,(21) 92225-2045
Eduardo Campos,"Rua Visconde de Souza Franco, 5652",82892496243.0,Lapa,9141.11,Pit Bull,Masculino,Desenvolvedor,58,(21) 99045-9826
Joao Almeida,"Rua Humaita, 3045",96497872609.0,Humaita,3236.92,Boxer,Masculino,Historiador,40,(21) 97114-6785
Joao Almeida,"Rua Senador Dantas, 4944",19232244176.0,Flamengo,6417.12,Bulldog,Masculino,Psicologo,68,(21) 91601-1986
Felipe Oliveira,"Rua Gal. Osorio, 3697",52541525477.0,Cascadura,2987.12,Shiba Inu,Masculino,Publicitario,20,(21) 90962-6932
Michele Araujo,"Avenida das Americas, 5710",28006277278.0,Barra da Tijuca,6244.01,Poodle,Feminino,Engenheiro,57,(21) 95123-9057
Eduardo Campos,"Rua do Russel, 6066",82410917872.0,Gloria,4922.89,Labrador,Masculino,Fisioterapeuta,46,(21) 95979-9491
Rafael Melo,"Rua Conde de Bonfim, 5037",70172877434.0,Tijuca,3619.76,Schnauzer,Masculino,Producao de Eventos,63,(21) 96068-3439
Larissa Ferreira,"Rua Almirante Alexandrino, 3141",25930712437.0,Santa Teresa,7251.44,Schnauzer,Feminino,Ator,48,(21) 95782-5390
Gabriel Rocha,"Rua do Bispo, 6139",68125159521.0,Rio Comprido,9121.95,Bulldog,Masculino,Professor,54,(21) 92006-6105
Lucas Ferreira,"Rua Nelson Mandela, 8315",40484600075.0,Botafogo,1575.1,Shiba Inu,Masculino,Fisioterapeuta,56,(21) 95004-6548
Marcelo Lima,"Rua Voluntarios da Patria, 3143",24284978020.0,Botafogo,9526.37,Pit Bull,Masculino,Engenheiro,58,(21) 92762-2795
Pedro Pinto,"Rua Monte Alegre, 6888",19018352786.0,Santa Teresa,2983.6,Labrador,Masculino,Psicologo,68,(21) 96487-8331
Daniele Souza,"Avenida Glaucio Gil, 300",89788360327.0,Recreio dos Bandeirantes,3336.51,Boxer,Feminino,Arquiteto,49,(21) 99820-6027
Maria Luiza Silva,"Rua do Dende, 7576",87985910462.0,Recreio dos Bandeirantes,8241.07,Boxer,Feminino,Jornalista,72,(21) 96385-2188
Mariana Lima,"Rua da Gloria, 3380",62583644172.0,Gloria,9168.0,Husky Siberiano,Feminino,Veterinario,63,(21) 90213-5252
Amanda Carvalho,"Rua do Bispo, 5468",56921289433.0,Rio Comprido,3436.65,Border Collie,Feminino,Lider de Projeto,56,(21) 99904-7800
Marcelo Lima,"Rua Farme de Amoedo, 5474",15870984733.0,Ipanema,2194.31,Husky Siberiano,Masculino,Farmaceutico,21,(21) 94179-9439
Larissa Ferreira,"Rua Joaquim Nabuco, 4535",13042931205.0,Recreio dos Bandeirantes,7509.29,Basset Hound,Feminino,Arquiteto,40,(21) 98205-4825
Michele Araujo,"Rua Joaquim Nabuco, 7035",88707784718.0,Recreio dos Bandeirantes,9645.04,Husky Siberiano,Feminino,Historiador,72,(21) 91244-5127
Maria Luiza Silva,"Rua Clarimundo de Melo, 8589",17958572201.0,Tijuca,6116.42,Pit Bull,Feminino,Quimico,30,(21) 94286-6908
Rodrigo Costa,"Rua Uruguai, 7438",41226375552.0,Tijuca,3230.56,Bulldog,Masculino,Padeiro,70,(21) 99118-6849
Rodrigo Costa,"Rua Ataulfo de Paiva, 1900",70231554394.0,Leblon,9026.9,Schnauzer,Masculino,Terapeuta Ocupacional,26,(21) 97486-3310
Diego Silva,"Rua Casemiro de Abreu, 901",60963467437.0,Cascadura,4596.2,Chihuahua,Masculino,Professor,18,(21) 98991-8485
Camila Pereira,"Rua Silveira Martins, 5312",52113387249.0,Catete,5605.94,Maltes,Feminino,Enfermeiro,65,(21) 91771-8701
Marcelo Lima,"Rua Barata Ribeiro, 6620",58111867737.0,Copacabana,9118.63,Beagle,Masculino,Psicologo,70,(21) 95016-4639
Gustavo Moreira,"Praia de Botafogo, 8990",87231921941.0,Botafogo,2233.87,Cocker Spaniel,Masculino,Professor,70,(21) 91018-9185
Thiago Souza,"Rua Pacheco Leao, 5491",66438745347.0,Jardim Botanico,3280.28,Labrador,Masculino,Padeiro,51,(21) 94112-7687
Roberta Moreira,"Rua Monte Alegre, 1611",45850259446.0,Santa Teresa,3305.9,Boxer,Feminino,Publicitario,46,(21) 95653-4538
Gabriela Rocha,"Rua do Anil, 9687",96656045040.0,Barra da Tijuca,9360.87,Husky Siberiano,Feminino,Jornalista,23,(21) 92124-2272
Luana Campos,"Rua Garcia d'Avila, 9066",47935081818.0,Ipanema,6587.99,Pit Bull,Feminino,Advogado,40,(21) 90081-5317
Juliana Costa,"Rua Almirante Alexandrino, 6624",28418917474.0,Santa Teresa,5199.22,Schnauzer,Feminino,Designer,19,(21) 93013-9629
Marcelo Lima,"Rua Sao Clemente, 2509",12601011306.0,Botafogo,7701.06,Schnauzer,Masculino,Administrador,28,(21) 99863-7177
Isabela Martins,"Rua Almirante Alexandrino, 4132",58728151302.0,Santa Teresa,2058.4,Maltes,Feminino,Engenheiro,22,(21) 91246-9738
Ricardo Martins,"Rua Buarque de Macedo, 1564",74556155712.0,Vila Isabel,2846.0,Dachshund,Masculino,Diretor,63,(21) 90654-8131
Eduardo Campos,"Rua Plinio Casado, 3371",15713802485.0,Cascadura,2182.45,Pug,Masculino,Farmaceutico,61,(21) 98449-4241
Ricardo Martins,"Rua do Pepino, 8412",66593644175.0,Recreio dos Bandeirantes,9423.8,Poodle,Masculino,Antropologo,42,(21) 97030-7963
Joao Almeida,"Rua Marquesa de Santos, 9495",52744604147.0,Jardim Botanico,6237.57,Pit Bull,Masculino,Padeiro,34,(21) 93341-6565
Natalia Pinto,"Rua do Russel, 5851",74493675239.0,Gloria,8891.65,Pit Bull,Feminino,Designer,69,(21) 98251-2241
Pedro Pinto,"Rua do Lavradio, 5281",76650983444.0,Lapa,1574.59,Maltes,Masculino,Personal Trainer,46,(21) 97259-7264
Isabela Martins,"Avenida Vieira Souto, 1812",99389989416.0,Ipanema,5230.8,Dachshund,Feminino,Designer,56,(21) 97276-7125
Daniel Araujo,"Rua Silveira Martins, 1242",72660801391.0,Catete,6758.74,Shih Tzu,Masculino,Biologo,50,(21) 98323-8076
Vinicius Santos,"Rua Senador Dantas, 9525",55353268224.0,Flamengo,9699.16,Rottweiler,Masculino,Geografo,22,(21) 99739-7496
Gustavo Moreira,"Avenida Delfim Moreira, 8591",18462980100.0,Leblon,1413.24,Beagle,Masculino,Desenvolvedor,40,(21) 93572-3752
Gustavo Moreira,"Rua do Catete, 3697",63165249902.0,Flamengo,5318.92,Border Collie,Masculino,Professor,26,(21) 92555-3527
Rafael Melo,"Rua Casemiro de Abreu, 8060",37344428317.0,Cascadura,6264.88,Basset Hound,Masculino,Artesao,39,(21) 92987-1800
Diego Silva,"Rua Visconde de Piraja, 6585",85082327719.0,Ipanema,3301.16,Basset Hound,Masculino,Designer,42,(21) 96692-8524
Isabela Martins,"Rua Paula Freitas, 711",90322628269.0,Copacabana,9031.89,Chihuahua,Feminino,Desenvolvedor,39,(21) 99119-3741
Carlos Santos,"Rua Pacheco Leao, 5761",79851808735.0,Jardim Botanico,8832.0,Rottweiler,Masculino,Quimico,69,(21) 90844-1942
Rafael Melo,"Rua Miguel Lemos, 2299",16226654242.0,Sao Conrado,6831.02,Yorkshire Terrier,Masculino,Antropologo,50,(21) 93778-6171
Marcelo Lima,"Rua Bento Lisboa, 8716",20228017676.0,Humaita,5906.95,Chihuahua,Masculino,Quimico,32,(21) 99563-3357
Juliana Costa,"Avenida Rio Branco, 8693",20139668302.0,Centro,7574.86,Husky Siberiano,Feminino,Biologo,71,(21) 91994-7943
Maria Luiza Silva,"Rua Domingos Ferreira, 8544",87241303661.0,Cascadura,8398.06,Chihuahua,Feminino,Publicitario,36,(21) 99084-7872
